titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster
荒神录之玲珑山,Huangshen Lu Zhi Linglong Shan,The Ruins of Kunlun Linglong,2025-05-02,2025,,1,12.0,Nice Boat Animation,Adventure | Fantasy,Unknown,ONA,FINISHED,176,,58.0,,,,,,,,3
星の子どもとはじまりの樹,Hoshi no Kodomo to Hajimari no Ki,,2025-03-09,2025,WINTER 2025,1,1.0,Buemon,Fantasy,Unknown,ONA,FINISHED,176,,50.0,,,,,,,,3
逆天战纪,Nitian Zhan Ji,The Rise of the Weak,2023-04-03,2023,,1,20.0,Fengyun Animation,Action | Adventure | Fantasy | Romance,Unknown,ONA,FINISHED,175,,54.0,,,,,,,,3
青のオーケストラ 5分で楽しいクラシック,Ao no Orchestra 5-bu de Tanoshii Kurashikku,,2023-03-20,2023,SPRING 2023,1,19.0,Unknown,Comedy | Music,Unknown,TV_SHORT,FINISHED,174,,52.0,,,,,,,,3
ギャラクシーアパート★コスモヒルズ,Galaxy Apartment★Cosmo Hills,,2025-03-09,2025,WINTER 2025,1,1.0,Seven Arcs,Drama | Sci-Fi,Unknown,ONA,FINISHED,174,48.0,55.0,,,,,,,,3
李林克的小馆儿 第二季,Li Linke De Xiao Guaner 2,,2023-01-30,2023,,1,10.0,Delight Animation,Slice of Life,Unknown,ONA,FINISHED,174,,60.0,,,,,,,,3
小绿和小蓝 第四季,Xiaolü He Xiaolan 4,,2023-12-21,2023,,2,12.0,Big Firebird Cultural Media,Comedy | Drama | Fantasy | Slice of Life,Unknown,ONA,FINISHED,173,,62.0,,,,,,,,1
はりねずみのルーチカ,Harinezumi no Luchika,Luchika the Hedgehog,2024-03-10,2024,SPRING 2024,1,1.0,Fanworks,Fantasy | Slice of Life,Kids,ONA,FINISHED,172,50.0,57.0,,,,,,,,3
直江くんは痩せさせたい。,Naoe-kun wa Yasesasetai. (ONA),,2024-10-06,2024,FALL 2024,1,2.0,Unknown,Comedy | Fantasy | Slice of Life,Unknown,ONA,FINISHED,171,46.0,50.0,,,,,,,,3
吞天记,Tun Tian Ji,,2025-05-19,2025,,1,40.0,Soyep,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,171,,66.0,,,,,,,,2
베스티언즈,BASTIONS,BASTIONS,2023-05-13,2023,,1,5.0,Thymos Media,Comedy | Music,Kids,ONA,FINISHED,171,40.0,40.0,,,,,,,,3
史上最强炼体老祖,Shishang Zui Qiang Lian Ti Lao Zu,The Supreme Body Refining Master,2026-01-26,2026,,1,40.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,171,,59.0,,,,,,,,2
绝区零 惊魂午夜,Juequling: Jinghun Wuye,Zenless Zone Zero: A Frightful Night,2024-09-09,2024,,1,1.0,miHoYo Anime,Action | Sci-Fi,Unknown,ONA,FINISHED,170,,69.0,,,,,,,,1
胶囊计划 英雄,Jiaonang Jihua Yingxiong,,2024-12-17,2024,,1,11.0,Unknown,Action,Unknown,ONA,FINISHED,169,,58.0,,,,,,,,3
ななし怪談 第3作,Nanashi Kaidan 3rd Season,,2024-08-26,2024,SUMMER 2024,1,5.0,Unknown,Horror | Supernatural,Unknown,ONA,FINISHED,169,,41.0,,,,,,,,3
