titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster_trends
トモちゃんは女の子！,Tomo-chan wa Onnanoko!,Tomo-chan Is a Girl!,2023-01-05,2023,WINTER 2023,1,13.0,Lay-duce,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,161935,76.0,76.0,0.0,13.0,1.0,0.0,8.0,4.4,True,1
とんがり帽子のアトリエ,Tongari Boushi no Atelier,Witch Hat Atelier,2026-04-06,2026,SPRING 2026,1,13.0,BUG FILMS,Adventure | Drama | Fantasy,Seinen,ONA,RELEASING,158896,86.0,86.0,3.0,6.0,6.0,3.0,6.0,4.8,False,1
お隣の天使様にいつの間にか駄目人間にされていた件,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,The Angel Next Door Spoils Me Rotten,2023-01-07,2023,WINTER 2023,2,12.0,project No.9,Romance | Slice of Life,Unknown,TV,FINISHED,154264,78.0,78.0,2.0,22.0,9.0,0.0,7.0,8.0,True,0
地獄楽 第二期,Jigokuraku 2nd Season,Hell’s Paradise Season 2,2026-01-11,2026,WINTER 2026,1,12.0,MAPPA,Action | Adventure | Mystery | Supernatural,Shounen,TV,FINISHED,152279,82.0,82.0,0.0,1.0,0.0,0.0,0.0,0.2,False,1
ホリミヤ -piece-,Horimiya: piece,Horimiya: The Missing Pieces,2023-07-01,2023,SUMMER 2023,1,13.0,CloverWorks,Comedy | Romance | Slice of Life,Shounen,TV,FINISHED,150647,81.0,81.0,1.0,6.0,0.0,0.0,1.0,1.6,False,1
杖と剣のウィストリア,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,2024-07-07,2024,SUMMER 2024,2,12.0,Actas | Bandai Namco Pictures,Action | Comedy | Drama | Fantasy,Shounen,TV,FINISHED,148358,79.0,79.0,5.0,10.0,9.0,3.0,10.0,7.4,False,0
僕の心のヤバイやつ,Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,2023-04-02,2023,SPRING 2023,2,12.0,Shin-Ei Animation,Comedy | Romance | Slice of Life,Unknown,TV,FINISHED,147430,81.0,81.0,8.0,22.0,19.0,2.0,23.0,14.8,True,0
ワンパンマン３,One Punch Man 3,One-Punch Man Season 3,2025-10-12,2025,FALL 2025,2,12.0,J.C.STAFF,Action | Comedy | Sci-Fi | Supernatural,Seinen,TV,FINISHED,141276,50.0,50.0,0.0,2.0,1.0,0.0,0.0,0.6,False,1
盾の勇者の成り上がり Season 3,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,2023-10-06,2023,FALL 2023,2,12.0,Kinema Citrus,Action | Adventure | Fantasy,Unknown,TV,FINISHED,140806,70.0,71.0,0.0,12.0,1.0,0.0,4.0,3.4,True,1
怪獣８号 第２期,Kaijuu 8-gou 2nd Season,Kaiju No. 8 Season 2,2025-07-19,2025,SUMMER 2025,1,11.0,Production I.G,Action | Sci-Fi,Shounen,TV,FINISHED,140568,78.0,78.0,0.0,4.0,0.0,0.0,0.0,0.8,False,1
勇者刑に処す 懲罰勇者9004隊刑務記録,Yuusha Kei ni Shosu: Choubatsu Yuusha 9004-tai Keimu Kiroku,Sentenced to Be a Hero,2026-01-03,2026,WINTER 2026,2,12.0,Studio KAI,Action | Drama | Fantasy,Seinen,TV,FINISHED,140364,81.0,81.0,2.0,2.0,2.0,2.0,2.0,2.0,False,1
異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",2023-04-04,2023,SPRING 2023,1,13.0,Millepensee,Action | Adventure | Fantasy | Romance,Unknown,TV,FINISHED,137344,63.0,63.0,1.0,5.0,2.0,0.0,2.0,2.0,False,1
